fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-08-23,Subidas,Foyth,DF,Villarreal,14828293,+338661,+2.3
2026-08-23,Subidas,Camello,DL,Rayo Vallecano,3304220,+182591,+5.8
2026-08-23,Subidas,Pablo Ramón,DF,Racing,649177,+16572,+2.6
2026-08-23,Bajadas,C. Rivero,PT,Valencia,464717,-933,-0.2
2026-08-23,Bajadas,Alonso,DL,Rayo Vallecano,519859,-3230,-0.6
2026-08-23,Bajadas,Iñigo,DF,Racing,660021,-9070,-1.4
2026-08-23,Bajadas,C. Puga,DF,Málaga,4972420,-9741,-0.2
2026-08-23,Bajadas,Pablo Durán,DL,Celta,873825,-17979,-2.0
2026-08-23,Bajadas,Marcos,DL,Espanyol,1171798,-30394,-2.5
2026-08-23,Bajadas,Isaac,DL,Sevilla,5734152,-41543,-0.7
2026-08-23,Bajadas,D. Villares,MC,Deportivo,2132748,-51722,-2.4
2026-08-23,Bajadas,Iñigo Perez,DT,Villarreal,1858659,-55647,-2.9
2026-08-23,Bajadas,Javi Guerra,MC,Valencia,24736330,-56269,-0.2
