fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-08-17,Subidas,Foyth,DF,Villarreal,12566498,+330046,+2.7
2026-08-17,Subidas,Javi Guerra,MC,Valencia,24340395,+156961,+0.6
2026-08-17,Subidas,Boyomo,DF,Osasuna,28269599,+102370,+0.4
2026-08-17,Bajadas,Pablo Ramón,DF,Racing,506447,-4104,-0.8
2026-08-17,Bajadas,Pablo Durán,DL,Celta,996976,-22819,-2.2
2026-08-17,Bajadas,Camello,DL,Rayo Vallecano,3085546,-24446,-0.8
2026-08-17,Bajadas,RamisDTOsasuna,,,1391898,-41720,-2.9
2026-08-17,Bajadas,D. Villares,MC,Deportivo,2442046,-48657,-2.0
2026-08-17,Bajadas,FAFacu,DF,Racing,3003988,-55794,-1.8
2026-08-17,Bajadas,Isaac,DL,Sevilla,6443426,-65599,-1.0
2026-08-17,Bajadas,C. Puga,DF,Málaga,5170493,-72652,-1.4
2026-08-17,Bajadas,Marcos Alonso,DF,Celta,28927438,-267536,-0.9
2026-08-17,Bajadas,Guido Rodríguez,MC,Valencia,25241857,-320165,-1.3
2026-08-17,Bajadas,Ionut Radu,PT,Celta,38485562,-449309,-1.2
