fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-08-25,Subidas,1Raphinha,DL,Barcelona,99508679,+2340520,+2.4
2026-08-25,Subidas,2Fermín,MC,Barcelona,76040104,+2257229,+3.1
2026-08-25,Subidas,3Arda Güler,MC,Real Madrid,63716727,+1906709,+3.1
2026-08-25,Subidas,4Aubameyang,DL,Deportivo,46494855,+1629796,+3.6
2026-08-25,Subidas,5Kang-In Lee,MC,Atlético,47114891,+1575105,+3.5
2026-08-25,Subidas,6Adeyemi,DL,Barcelona,41248096,+1566827,+3.9
2026-08-25,Subidas,7Bellingham,MC,Real Madrid,94508594,+1446942,+1.6
2026-08-25,Subidas,8Mikautadze,DL,Villarreal,68330131,+1352432,+2.0
2026-08-25,Subidas,9Pepe,DL,Villarreal,63583559,+1340835,+2.2
2026-08-25,Subidas,10Eric,DF,Barcelona,49036895,+1224268,+2.6
2026-08-25,Subidas,11Konaté,DF,Real Madrid,47727983,+1027333,+2.2
2026-08-25,Subidas,12Cucho,DL,Real Betis,44580975,+1024769,+2.4
2026-08-25,Subidas,13David Soria,PT,Getafe,25040360,+937202,+3.9
2026-08-25,Subidas,14Fornals,MC,Real Betis,58275704,+928556,+1.6
2026-08-25,Subidas,15Á. Valles,PT,Real Betis,36341454,+924182,+2.6
2026-08-25,Subidas,16Huijsen,DF,Real Madrid,40164511,+912158,+2.3
2026-08-25,Subidas,17Vlachodimos,PT,Sevilla,22927185,+874412,+4.0
2026-08-25,Subidas,18Antony,DL,Real Betis,65239336,+851084,+1.3
2026-08-25,Subidas,19Gerard Martín,DF,Barcelona,40297824,+805000,+2.0
2026-08-25,Subidas,20Bartra,DF,Real Betis,28514361,+794035,+2.9
2026-08-25,Subidas,Tenaglia,DF,Alavés,20826574,+715154,+3.6
2026-08-25,Subidas,Roberto,DL,Espanyol,12121655,+713508,+6.3
2026-08-25,Subidas,Sivera,PT,Alavés,37339053,+704003,+1.9
2026-08-25,Subidas,Pathé I. Ciss,MC,Rayo Vallecano,17171322,+698414,+4.2
2026-08-25,Subidas,Fran García,DF,Real Betis,11671750,+696359,+6.3
2026-08-25,Subidas,Barrios,MC,Atlético,47458874,+690121,+1.5
2026-08-25,Subidas,Marcos Alonso,DF,Celta,28330951,+689100,+2.5
2026-08-25,Subidas,Carlos Espí,DL,Real Madrid,11560804,+647822,+5.9
2026-08-25,Subidas,Giuliano,DL,Atlético,40338099,+627808,+1.6
2026-08-25,Subidas,Koke,MC,Atlético,16685568,+619746,+3.9
2026-08-25,Subidas,Álex Baena,MC,Atlético,54684716,+616447,+1.1
2026-08-25,Subidas,Oso,DF,Sevilla,13051621,+605607,+4.9
2026-08-25,Subidas,Enes Ünal,DL,Getafe,13621555,+561018,+4.3
2026-08-25,Subidas,Guido Rodríguez,MC,Valencia,24042382,+555704,+2.4
2026-08-25,Subidas,Mojica,DF,Getafe,12758180,+551519,+4.5
2026-08-25,Subidas,Mariano,DL,Alavés,4048119,+509155,+14.4
2026-08-25,Subidas,Foyth,DF,Villarreal,15595628,+502794,+3.3
2026-08-25,Subidas,Dimitrievski,PT,Valencia,17013268,+490757,+3.0
2026-08-25,Subidas,Djene,DF,Getafe,10376756,+486870,+4.9
2026-08-25,Subidas,Tárrega,DF,Valencia,9658067,+482476,+5.3
2026-08-25,Subidas,Marc Pubill,DF,Atlético,53628029,+472908,+0.9
