fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-08-15,Subidas,1Raphinha,DL,Barcelona,83510536,+1530941,+1.9
2026-08-15,Subidas,2Fermín,MC,Barcelona,64177637,+1270841,+2.0
2026-08-15,Subidas,3Bernardo Silva,MC,Real Madrid,53669837,+1080997,+2.1
2026-08-15,Subidas,4Aubameyang,DL,Deportivo,31657424,+951196,+3.1
2026-08-15,Subidas,5Arda Güler,MC,Real Madrid,51979704,+697291,+1.4
2026-08-15,Subidas,6Isi,DL,Rayo Vallecano,18818211,+661312,+3.6
2026-08-15,Subidas,7Joan García,PT,Barcelona,68058272,+592212,+0.9
2026-08-15,Subidas,8David Soria,PT,Getafe,19481437,+579789,+3.1
2026-08-15,Subidas,9Budimir,DL,Osasuna,50415606,+570561,+1.1
2026-08-15,Subidas,10Comesaña,MC,Villarreal,34207464,+534752,+1.6
2026-08-15,Subidas,11Canales,MC,Racing,23158447,+508004,+2.2
2026-08-15,Subidas,12Gerard Martín,DF,Barcelona,35302661,+502232,+1.4
2026-08-15,Subidas,13Leo Román,PT,Deportivo,36472659,+487393,+1.4
2026-08-15,Subidas,14Huijsen,DF,Real Madrid,31925943,+480352,+1.5
2026-08-15,Subidas,15Courtois,PT,Real Madrid,60229714,+474159,+0.8
2026-08-15,Subidas,16C. Romero,DF,Villarreal,43690033,+459820,+1.1
2026-08-15,Subidas,17Pepe,DL,Villarreal,50092006,+458204,+0.9
2026-08-15,Subidas,18Hancko,DF,Atlético,38079151,+440517,+1.2
2026-08-15,Subidas,19Kubo,MC,Real Sociedad,23645535,+398027,+1.7
2026-08-15,Subidas,20Moleiro,MC,Villarreal,67114242,+358489,+0.5
2026-08-15,Subidas,Dimitrievski,PT,Valencia,14106731,+344254,+2.5
2026-08-15,Subidas,Edu Expósito,MC,Espanyol,29077401,+335282,+1.2
2026-08-15,Subidas,Hjulmand,MC,Atlético,36247742,+307421,+0.9
2026-08-15,Subidas,Bellerín,DF,Real Betis,14060687,+305804,+2.2
2026-08-15,Subidas,Mikautadze,DL,Villarreal,62438705,+300826,+0.5
2026-08-15,Subidas,Amatucci,MC,Deportivo,12835554,+290133,+2.3
2026-08-15,Subidas,Mario Soriano,MC,Deportivo,26115419,+289839,+1.1
2026-08-15,Subidas,C. Soler,MC,Real Sociedad,31720296,+278275,+0.9
2026-08-15,Subidas,Vlachodimos,PT,Sevilla,18024861,+268929,+1.5
2026-08-15,Subidas,Foyth,DF,Villarreal,11990930,+264350,+2.3
2026-08-15,Subidas,Á. Valles,PT,Real Betis,32735727,+254780,+0.8
2026-08-15,Subidas,Noubi,DF,Deportivo,12293821,+247858,+2.1
2026-08-15,Subidas,Marc Bernal,MC,Barcelona,6902871,+244609,+3.7
2026-08-15,Subidas,Ayoze,DL,Villarreal,17044355,+225759,+1.3
2026-08-15,Subidas,Djene,DF,Getafe,8465766,+225031,+2.7
