fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-09-23,Subidas,Raphinha,DL,Barcelona,154517801,+3318969,+2.2
2026-09-23,Subidas,Lamine Yamal,DL,Barcelona,155798310,+3063642,+2.0
2026-09-23,Subidas,Grimaldo,DF,Atlético,43207194,+2454874,+6.0
2026-09-23,Subidas,Adeyemi,DL,Barcelona,66076420,+2383778,+3.7
2026-09-23,Subidas,Moleiro,MC,Villarreal,42857206,+2131620,+5.2
2026-09-23,Subidas,J. David,DL,Atlético,39307610,+1935931,+5.2
2026-09-23,Subidas,Kang-In Lee,MC,Atlético,67836543,+1812668,+2.7
2026-09-23,Subidas,Camello,DL,Rayo Vallecano,28378497,+1797924,+6.8
2026-09-23,Subidas,Natan,DF,Real Betis,38984210,+1786511,+4.8
2026-09-23,Subidas,Á. Valles,PT,Real Betis,58482115,+1608742,+2.8
2026-09-23,Subidas,Mbappé,DL,Real Madrid,151772002,+1518777,+1.0
2026-09-23,Subidas,Rodri,MC,Barcelona,72859771,+1512917,+2.1
2026-09-23,Subidas,Cuti Romero,DF,Atlético,39074921,+1475574,+3.9
2026-09-23,Subidas,Álex Baena,MC,Atlético,67216363,+1313085,+2.0
2026-09-23,Subidas,Ez Abde,DL,Real Betis,33179200,+1203591,+3.8
2026-09-23,Subidas,Giuliano,DL,Atlético,40309507,+1165312,+3.0
2026-09-23,Subidas,Roberto,DL,Espanyol,41739824,+1154325,+2.8
2026-09-23,Subidas,Fer Niño,DL,Elche CF,16686427,+1124791,+7.2
2026-09-23,Subidas,Marcos Llorente,DF,Atlético,46414576,+1106556,+2.4
2026-09-23,Subidas,Arda Güler,MC,Real Madrid,103676258,+1098522,+1.1
2026-09-23,Subidas,Koski,DF,Alavés,17772561,+1071603,+6.4
2026-09-23,Subidas,Diomande,DL,Real Madrid,53584305,+1050844,+2.0
2026-09-23,Subidas,Xavi Espart,DF,Barcelona,40717013,+1018919,+2.6
2026-09-23,Subidas,Zaid Romero,DF,Getafe,26827813,+915829,+3.5
2026-09-23,Subidas,Cancelo,DF,Barcelona,32240390,+893770,+2.9
2026-09-23,Subidas,C. Soler,MC,Real Sociedad,31231808,+872543,+2.9
2026-09-23,Subidas,M. Román,MC,Celta,15593660,+854110,+5.8
2026-09-23,Subidas,Laporte,DF,Athletic Club,43279281,+804040,+1.9
2026-09-23,Subidas,Y. Zabiri,DL,Racing,18509325,+759756,+4.3
2026-09-23,Subidas,Sivera,PT,Alavés,43500929,+716404,+1.7
2026-09-23,Subidas,Ángel Pérez,DL,Alavés,26774369,+694968,+2.7
2026-09-23,Subidas,Ionut Radu,PT,Celta,43268024,+686304,+1.6
2026-09-23,Subidas,Navarro,MC,Athletic Club,11787488,+670832,+6.0
2026-09-23,Subidas,Fofana,MC,Sevilla,17030597,+651612,+4.0
2026-09-23,Subidas,Ilaix Moriba,MC,Celta,9891272,+632686,+6.8
2026-09-23,Subidas,Ayoze,DL,Villarreal,16686344,+624176,+3.9
2026-09-23,Subidas,Sucic,MC,Real Sociedad,13372229,+608368,+4.8
2026-09-23,Subidas,Juan Iglesias,DF,Sevilla,17664620,+603267,+3.5
2026-09-23,Subidas,Oblak,PT,Atlético,47667142,+589102,+1.3
2026-09-23,Subidas,Djene,DF,Getafe,18956633,+584962,+3.2
