fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-08-10,Subidas,1Joan García,PT,Barcelona,60199707,+2450342,+4.2
2026-08-10,Subidas,2Cucurella,DF,Real Madrid,82179013,+1985841,+2.5
2026-08-10,Subidas,3Vini Jr.,DL,Real Madrid,101778289,+1903774,+1.9
2026-08-10,Subidas,4Raphinha,DL,Barcelona,71886520,+1746037,+2.5
2026-08-10,Subidas,5Bernardo Silva,MC,Real Madrid,46122129,+1720270,+3.9
2026-08-10,Subidas,6Moleiro,MC,Villarreal,62321785,+1514300,+2.5
2026-08-10,Subidas,7Konaté,DF,Real Madrid,45621279,+1342769,+3.0
2026-08-10,Subidas,8C. Romero,DF,Villarreal,39458192,+1143017,+3.0
2026-08-10,Subidas,9Aubameyang,DL,Deportivo La Coruna,25835023,+1125626,+4.6
2026-08-10,Subidas,10Lookman,DL,Atletico Madrid,78137716,+1047526,+1.4
2026-08-10,Subidas,11Mikautadze,DL,Villarreal,57982976,+972087,+1.7
2026-08-10,Subidas,12Leo Román,PT,Deportivo La Coruna,33412342,+905303,+2.8
2026-08-10,Subidas,13Á. Valles,PT,Real Betis,29506021,+882148,+3.1
2026-08-10,Subidas,14Larrubia,MC,Malaga,55412320,+855495,+1.6
2026-08-10,Subidas,15Gerard Martín,DF,Barcelona,31385353,+846128,+2.8
2026-08-10,Subidas,16Gueye,MC,Villarreal,46265759,+843038,+1.9
2026-08-10,Subidas,17Chupe,DL,Malaga,53220901,+758111,+1.4
2026-08-10,Subidas,18Hancko,DF,Atletico Madrid,34452134,+740877,+2.2
2026-08-10,Subidas,19Comesaña,MC,Villarreal,30699628,+737519,+2.5
2026-08-10,Subidas,20Canales,MC,Racing Santander,19407657,+636982,+3.4
2026-08-10,Subidas,Sivera,PT,Alaves,29993171,+632205,+2.2
2026-08-10,Subidas,Dmitrovic,PT,Espanyol,35735316,+616290,+1.8
2026-08-10,Subidas,Sergio Herrera,PT,Osasuna,39048268,+615421,+1.6
2026-08-10,Subidas,Etta Eyong,DL,Levante,23943020,+584705,+2.5
2026-08-10,Subidas,Mouriño,DF,Villarreal,39278797,+497869,+1.3
2026-08-10,Subidas,Lamine Yamal,DL,Barcelona,128829871,+489965,+0.4
2026-08-10,Subidas,Boyomo,DF,Osasuna,26229969,+488512,+1.9
2026-08-10,Subidas,Vlachodimos,PT,Sevilla,15818039,+457176,+3.0
2026-08-10,Subidas,Mario Soriano,MC,Deportivo La Coruna,24217482,+387972,+1.6
2026-08-10,Subidas,Jauregizar,MC,Athletic Club,27118265,+331419,+1.2
2026-08-10,Subidas,Mbappé,DL,Real Madrid,131065785,+323552,+0.2
2026-08-10,Subidas,Bellerín,DF,Real Betis,12767391,+304320,+2.4
2026-08-10,Subidas,Dimitrievski,PT,Valencia,12054539,+295442,+2.5
2026-08-10,Subidas,C. Alvarez,MC,Levante,19151902,+293796,+1.6
2026-08-10,Subidas,Marc Bernal,MC,Barcelona,5587614,+274293,+5.2
2026-08-10,Subidas,Ionut Radu,PT,Celta Vigo,39952903,+271290,+0.7
2026-08-10,Subidas,Bartra,DF,Real Betis,27213100,+264608,+1.0
2026-08-10,Subidas,Noubi,DF,Deportivo La Coruna,11217266,+260626,+2.4
2026-08-10,Subidas,De Galarreta,MC,Athletic Club,11520321,+260067,+2.3
2026-08-10,Subidas,Llorente,DF,Real Betis,12475430,+246720,+2.0
2026-08-10,Subidas,Affengruber,DF,Elche,33006187,+243560,+0.7
2026-08-10,Subidas,Aramburu,DF,Real Sociedad,16266035,+240573,+1.5
2026-08-10,Subidas,Starfelt,DF,Celta Vigo,12943071,+217562,+1.7
2026-08-10,Subidas,Hjulmand,MC,Atletico Madrid,33439206,+207333,+0.6
2026-08-10,Subidas,Raúl Moro,DL,Osasuna,12681563,+203260,+1.6
