fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-08-22,Subidas,Foyth,DF,Villarreal,14489632,+393149,+2.8
2026-08-22,Subidas,Camello,DL,Rayo Vallecano,3121629,+131207,+4.4
2026-08-22,Subidas,Javi Guerra,MC,Valencia,24792599,+38131,+0.2
2026-08-22,Subidas,Pablo Ramón,DF,Racing,632605,+21012,+3.4
2026-08-22,Subidas,C. Puga,DF,Málaga,4982161,+138,0.0
2026-08-22,Bajadas,C. Rivero,PT,Valencia,465650,-2240,-0.5
2026-08-22,Bajadas,Iñigo,DF,Racing,669091,-10716,-1.6
2026-08-22,Bajadas,Pablo Durán,DL,Celta,891804,-19908,-2.2
2026-08-22,Bajadas,D. Villares,MC,Deportivo,2184470,-52380,-2.3
2026-08-22,Bajadas,Iñigo PerezDTVillarreal,,,1914306,-60493,-3.1
