fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-08-11,Subidas,1Joan García,PT,Barcelona,62720019,+2520312,+4.2
2026-08-11,Subidas,2Raphinha,DL,Barcelona,74323692,+2437172,+3.4
2026-08-11,Subidas,3Vini Jr.,DL,Real Madrid,103723742,+1945453,+1.9
2026-08-11,Subidas,4Bernardo Silva,MC,Real Madrid,47988419,+1866290,+4.0
2026-08-11,Subidas,5Moleiro,MC,Villarreal,63860989,+1539204,+2.5
2026-08-11,Subidas,6Aubameyang,DL,Deportivo La Coruna,27187958,+1352935,+5.2
2026-08-11,Subidas,7Mikautadze,DL,Villarreal,59287151,+1304175,+2.2
2026-08-11,Subidas,8Konaté,DF,Real Madrid,46906486,+1285207,+2.8
2026-08-11,Subidas,9Cucurella,DF,Real Madrid,83343244,+1164231,+1.4
2026-08-11,Subidas,10C. Romero,DF,Villarreal,40587172,+1128980,+2.9
2026-08-11,Subidas,11Lookman,DL,Atletico Madrid,79098477,+960761,+1.2
2026-08-11,Subidas,12Á. Valles,PT,Real Betis,30418519,+912498,+3.1
2026-08-11,Subidas,13Comesaña,MC,Villarreal,31574955,+875327,+2.9
2026-08-11,Subidas,14Gerard Martín,DF,Barcelona,32247012,+861659,+2.7
2026-08-11,Subidas,15Hancko,DF,Atletico Madrid,35257793,+805659,+2.3
2026-08-11,Subidas,16Canales,MC,Racing Santander,20194925,+787268,+4.1
2026-08-11,Subidas,17Gueye,MC,Villarreal,46999599,+733840,+1.6
2026-08-11,Subidas,18Leo Román,PT,Deportivo La Coruna,34096906,+684564,+2.0
2026-08-11,Subidas,19Dmitrovic,PT,Espanyol,36350767,+615451,+1.7
2026-08-11,Subidas,20Sergio Herrera,PT,Osasuna,39656190,+607922,+1.6
2026-08-11,Subidas,Budimir,DL,Osasuna,47532655,+577571,+1.2
2026-08-11,Subidas,Etta Eyong,DL,Levante,24512276,+569256,+2.4
2026-08-11,Subidas,Larrubia,MC,Malaga,55948998,+536678,+1.0
2026-08-11,Subidas,Courtois,PT,Real Madrid,57023063,+533577,+0.9
2026-08-11,Subidas,Hjulmand,MC,Atletico Madrid,33940963,+501757,+1.5
2026-08-11,Subidas,Mouriño,DF,Villarreal,39776403,+497606,+1.3
2026-08-11,Subidas,Chupe,DL,Malaga,53715179,+494278,+0.9
2026-08-11,Subidas,Vlachodimos,PT,Sevilla,16302043,+484004,+3.1
2026-08-11,Subidas,Sivera,PT,Alaves,30464626,+471455,+1.6
2026-08-11,Subidas,Boyomo,DF,Osasuna,26693160,+463191,+1.8
2026-08-11,Subidas,Isi,DL,Rayo Vallecano,16348401,+441248,+2.8
2026-08-11,Subidas,Dimitrievski,PT,Valencia,12445916,+391377,+3.2
2026-08-11,Subidas,Edu Expósito,MC,Espanyol,27390218,+391027,+1.4
2026-08-11,Subidas,Jauregizar,MC,Athletic Club,27492528,+374263,+1.4
2026-08-11,Subidas,Mario Soriano,MC,Deportivo La Coruna,24563430,+345948,+1.4
2026-08-11,Subidas,Bartra,DF,Real Betis,27508264,+295164,+1.1
2026-08-11,Subidas,Aramburu,DF,Real Sociedad,16560659,+294624,+1.8
2026-08-11,Subidas,Starfelt,DF,Celta Vigo,13234091,+291020,+2.2
2026-08-11,Subidas,Ionut Radu,PT,Celta Vigo,40225317,+272414,+0.7
2026-08-11,Subidas,Marc Bernal,MC,Barcelona,5843799,+256185,+4.6
