fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-09-08,Subidas,1Aubameyang,DL,Deportivo,78834380,+3709319,+4.9
2026-09-08,Subidas,2Fermín,MC,Barcelona,98198695,+3032231,+3.2
2026-09-08,Subidas,3Gordon,DL,Barcelona,81799670,+2262896,+2.8
2026-09-08,Subidas,4Arda Güler,MC,Real Madrid,82593634,+1942072,+2.4
2026-09-08,Subidas,5Xavi Espart,DF,Barcelona,12270072,+1740054,+16.5
2026-09-08,Subidas,6Lamine Yamal,DL,Barcelona,131136104,+1641091,+1.3
2026-09-08,Subidas,7Budimir,DL,Osasuna,55590309,+1504527,+2.8
2026-09-08,Subidas,8Pedri,MC,Barcelona,90777565,+1498797,+1.7
2026-09-08,Subidas,9Raphinha,DL,Barcelona,130568540,+1442593,+1.1
2026-09-08,Subidas,10Lucas Boyé,DL,Alavés,17737988,+1392268,+8.5
2026-09-08,Subidas,11Á. Valles,PT,Real Betis,46078954,+1369304,+3.1
2026-09-08,Subidas,12O. Sancet,MC,Athletic Club,37355119,+1266312,+3.5
2026-09-08,Subidas,13Fran García,DF,Real Betis,22689114,+1234253,+5.8
2026-09-08,Subidas,14Nico Williams,DL,Athletic Club,49151759,+1167555,+2.4
2026-09-08,Subidas,15Huijsen,DF,Real Madrid,54396070,+1149118,+2.2
2026-09-08,Subidas,16Iñaki Williams,DL,Athletic Club,28317269,+1106410,+4.1
2026-09-08,Subidas,17Ryan,PT,Levante,22925399,+1095744,+5.0
2026-09-08,Subidas,18Mariano,DL,Alavés,11146419,+1031742,+10.2
2026-09-08,Subidas,19Camello,DL,Rayo Vallecano,8532358,+1006287,+13.4
2026-09-08,Subidas,20Ángel Pérez,DL,Alavés,12816970,+956205,+8.1
2026-09-08,Subidas,Bellingham,MC,Real Madrid,117022866,+897879,+0.8
2026-09-08,Subidas,Laporte,DF,Athletic Club,39877609,+857876,+2.2
2026-09-08,Subidas,Agirrezabala,PT,Racing,12575694,+809687,+6.9
2026-09-08,Subidas,Gerard Martín,DF,Barcelona,49287514,+754242,+1.6
2026-09-08,Subidas,Unai Simón,PT,Athletic Club,46821324,+743135,+1.6
2026-09-08,Subidas,Marc Bernal,MC,Barcelona,17291068,+705433,+4.3
2026-09-08,Subidas,Roberto,DL,Espanyol,23772233,+671513,+2.9
2026-09-08,Subidas,Unai Lopez,MC,Rayo Vallecano,10946225,+654242,+6.4
2026-09-08,Subidas,Ionut Radu,PT,Celta,36937756,+591755,+1.6
2026-09-08,Subidas,Gerard,DL,Villarreal,33554092,+577017,+1.7
2026-09-08,Subidas,Bartra,DF,Real Betis,34787552,+542248,+1.6
2026-09-08,Subidas,Yuri,DF,Athletic Club,11820882,+538219,+4.8
2026-09-08,Subidas,Dela,DF,Levante,16365129,+533165,+3.4
2026-09-08,Subidas,De Galarreta,MC,Athletic Club,13253067,+510085,+4.0
2026-09-08,Subidas,Koski,DF,Alavés,6705381,+498282,+8.0
2026-09-08,Subidas,Marc Roca,MC,Real Betis,9887516,+489214,+5.2
2026-09-08,Subidas,Álex Baena,MC,Atlético,67336700,+476125,+0.7
2026-09-08,Subidas,A. Herrero,PT,Málaga,12608410,+472988,+3.9
2026-09-08,Subidas,Giménez,DF,Deportivo,5179866,+472321,+10.0
2026-09-08,Subidas,Riquelme,MC,Real Betis,13816505,+472271,+3.5
2026-09-08,Subidas,Navarro,MC,Athletic Club,3478014,+469333,+15.6
2026-09-08,Subidas,Ibañez,MC,Alavés,7577258,+464418,+6.5
2026-09-08,Subidas,Barrios,MC,Atlético,54804738,+461648,+0.8
2026-09-08,Subidas,Paredes,DF,Athletic Club,10877408,+453556,+4.4
2026-09-08,Subidas,David Soria,PT,Getafe,34818237,+448283,+1.3
2026-09-08,Subidas,Jon Martin,DF,Real Sociedad,27469632,+431424,+1.6
2026-09-08,Subidas,Pablo García,DL,Racing,4155974,+417301,+11.2
2026-09-08,Subidas,Iñigo Vicente,DL,Racing,28395592,+411376,+1.5
2026-09-08,Subidas,Luismi Cruz,DL,Deportivo,7261832,+409798,+6.0
2026-09-08,Subidas,Bellerín,DF,Real Betis,15510829,+398215,+2.6
2026-09-08,Subidas,Pathé I. Ciss,MC,Rayo Vallecano,22035420,+383481,+1.8
2026-09-08,Subidas,Mandi,DF,Levante,11012287,+382864,+3.6
2026-09-08,Subidas,Tenaglia,DF,Alavés,32223387,+379371,+1.2
2026-09-08,Subidas,M. Román,MC,Celta,9125539,+371269,+4.2
2026-09-08,Subidas,Aramburu,DF,Real Sociedad,18201577,+357429,+2.0
2026-09-08,Subidas,Olasagasti,MC,Levante,6977781,+347635,+5.2
2026-09-08,Subidas,Moi Gómez,MC,Osasuna,3705103,+332535,+9.9
2026-09-08,Subidas,Jonny Otto,DF,Alavés,11154430,+328147,+3.0
2026-09-08,Subidas,F. Bernal,MC,Real Betis,12699695,+321705,+2.6
2026-09-08,Subidas,Blanco,MC,Alavés,18374465,+303170,+1.7
2026-09-08,Subidas,Marcos Alonso,DF,Celta,27836488,+301168,+1.1
2026-09-08,Subidas,M. Casadó,MC,Deportivo,3261158,+296177,+10.0
2026-09-08,Subidas,Canales,MC,Racing,26243192,+290017,+1.1
2026-09-08,Subidas,Bardeli,MC,Levante,5468379,+288272,+5.6
2026-09-08,Subidas,Mario Soriano,MC,Deportivo,30297741,+284220,+0.9
2026-09-08,Subidas,Adama Traoré,DL,Deportivo,15965470,+271044,+1.7
2026-09-08,Subidas,Sivera,PT,Alavés,42511625,+249488,+0.6
2026-09-08,Subidas,Noubi,DF,Deportivo,14058621,+238409,+1.7
2026-09-08,Subidas,Gabriel Jesus,DL,Barcelona,27868413,+237388,+0.9
2026-09-08,Subidas,Miguel Sierra,DL,Sevilla,3375178,+227617,+7.2
2026-09-08,Subidas,Y. Zabiri,DL,Racing,7938460,+226541,+2.9
2026-09-08,Subidas,Sucic,MC,Real Sociedad,6733335,+224081,+3.4
2026-09-08,Subidas,Yoel Lago,DF,Celta,2442992,+219557,+9.9
2026-09-08,Subidas,Joan García,PT,Barcelona,72799220,+214679,+0.3
2026-09-08,Subidas,Sergio Gómez,DF,Real Sociedad,15235507,+208662,+1.4
2026-09-08,Subidas,Agoumé,MC,Sevilla,7356128,+207921,+2.9
2026-09-08,Subidas,Amatucci,MC,Deportivo,17196826,+206344,+1.2
2026-09-08,Subidas,Zubeldia,DF,Real Sociedad,9488281,+198884,+2.1
2026-09-08,Subidas,Christensen,DF,Barcelona,7235278,+197861,+2.8
2026-09-08,Subidas,Turrientes,MC,Real Sociedad,5970725,+197652,+3.4
2026-09-08,Subidas,Gerenabarrena,MC,Athletic Club,2091622,+195229,+10.3
2026-09-08,Subidas,Areso,DF,Athletic Club,3057905,+192475,+6.7
