fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-09-04,Subidas,M. Román,MC,Celta,7933560,+398142,+5.3
2026-09-04,Subidas,Zaid Romero,DF,Getafe,31036440,+368605,+1.2
2026-09-04,Subidas,Ionut Radu,PT,Celta,34972491,+328621,+0.9
2026-09-04,Subidas,Amatucci,MC,Deportivo,16468845,+287260,+1.8
2026-09-04,Subidas,Gerenabarrena,MC,Athletic Club,1600215,+112958,+7.6
2026-09-04,Subidas,A. Rebbach,DL,Alavés,5401608,+64940,+1.2
2026-09-04,Subidas,Denis Suárez,MC,Alavés,2599009,+30419,+1.2
2026-09-04,Subidas,Manu Sánchez,DF,Levante,4992205,+25378,+0.5
2026-09-04,Bajadas,C. Rivero,PT,Valencia,436620,-1536,-0.4
2026-09-04,Bajadas,D. Villares,MC,Deportivo,1599742,-31652,-1.9
2026-09-04,Bajadas,Iñigo Perez,DT,Villarreal,1259983,-35842,-2.8
2026-09-04,Bajadas,C. Puga,DF,Málaga,4670319,-42954,-0.9
2026-09-04,Bajadas,C. Soler,MC,Real Sociedad,31230518,-124554,-0.4
2026-09-04,Bajadas,Canales,MC,Racing,25960519,-253764,-1.0
