fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-08-12,Subidas,Boyomo,DF,Osasuna,27133042,+439882,+1.6
2026-08-12,Subidas,Foyth,DF,Villarreal,11223086,+237052,+2.2
2026-08-12,Subidas,Ionut Radu,PT,Celta Vigo,40316705,+91388,+0.2
2026-08-12,Subidas,Isaac,DL,Sevilla,6279362,+58803,+0.9
2026-08-12,Bajadas,FAFacu,DF,Racing Santander,3071047,-16592,-0.5
2026-08-12,Bajadas,Javi Guerra,MC,Valencia,23908125,-29570,-0.1
2026-08-12,Bajadas,C. Puga,DF,Malaga,5401633,-48964,-0.9
2026-08-12,Bajadas,Guido Rodríguez,MC,Valencia,26303712,-235749,-0.9
2026-08-12,Bajadas,O. Sancet,MC,Athletic Club,50462604,-1000147,-1.9
