fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-09-25,Subidas,Vlachodimos,PT,Sevilla,32696401,+218577,+0.7
2026-09-25,Bajadas,D. Villares,MC,Deportivo,1018425,-13821,-1.3
2026-09-25,Bajadas,A. Rebbach,DL,Alavés,5106891,-38280,-0.7
2026-09-25,Bajadas,Iñigo Perez,DT,Villarreal,810046,-14298,-1.7
2026-09-25,Subidas,Yoel Lago,DF,Celta,9804042,+562880,+6.1
2026-09-25,Bajadas,Gudelj,MC,Getafe,5568843,-96314,-1.7
2026-09-25,Bajadas,Claudio Giraldez,DT,Celta,812149,-14387,-1.7
2026-09-25,Subidas,Luismi Cruz,DL,Deportivo,11192447,+152525,+1.4
2026-09-25,Subidas,Sucic,MC,Real Sociedad,14663506,+618945,+4.4
2026-09-25,Bajadas,Aihen,DF,Real Sociedad,641445,-7274,-1.1
2026-09-25,Subidas,Koski,DF,Alavés,19796526,+1026998,+5.5
2026-09-25,Subidas,Germán V.,MC,Elche CF,13396923,+62101,+0.5
2026-09-25,Subidas,Kang-In Lee,MC,Atlético,71353671,+1596680,+2.3
2026-09-25,Subidas,Á. Valles,PT,Real Betis,61674804,+1553803,+2.6
