fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-08-22,Subidas,1Aubameyang,DL,Deportivo,41669589,+1958183,+4.9
2026-08-22,Subidas,2Pepe,DL,Villarreal,59639337,+1936342,+3.4
2026-08-22,Subidas,3Kang-In Lee,MC,Atlético,42692360,+1890782,+4.6
2026-08-22,Subidas,4Barrios,MC,Atlético,44327681,+1557348,+3.6
2026-08-22,Subidas,5Raphinha,DL,Barcelona,94944407,+1472543,+1.6
2026-08-22,Subidas,6Bernardo Silva,MC,Real Madrid,61355545,+1280613,+2.1
2026-08-22,Subidas,7Álex Baena,MC,Atlético,51990215,+1243392,+2.5
2026-08-22,Subidas,8Arda Güler,MC,Real Madrid,59265355,+1151713,+2.0
2026-08-22,Subidas,9Hancko,DF,Atlético,41604888,+1133345,+2.8
2026-08-22,Subidas,10Huijsen,DF,Real Madrid,37565619,+931706,+2.5
2026-08-22,Subidas,11Sivera,PT,Alavés,35273936,+859777,+2.5
2026-08-22,Subidas,12Lamine Yamal,DL,Barcelona,127114348,+854614,+0.7
2026-08-22,Subidas,13Mikautadze,DL,Villarreal,66127609,+808428,+1.2
2026-08-22,Subidas,14Dmitrovic,PT,Espanyol,40539569,+786748,+2.0
2026-08-22,Subidas,15Tenaglia,DF,Alavés,18604149,+784972,+4.4
2026-08-22,Subidas,16Leo Román,PT,Deportivo,39940867,+773632,+2.0
2026-08-22,Subidas,17Le Normand,DF,Atlético,12148000,+756314,+6.6
2026-08-22,Subidas,18Antony,DL,Real Betis,62443267,+753676,+1.2
2026-08-22,Subidas,19Courtois,PT,Real Madrid,65333270,+721486,+1.1
2026-08-22,Subidas,20Fermín,MC,Barcelona,72503353,+715819,+1.0
2026-08-22,Subidas,Eric,DF,Barcelona,46510720,+708576,+1.5
2026-08-22,Subidas,Pathé I. Ciss,MC,Rayo Vallecano,14954934,+702397,+4.9
2026-08-22,Subidas,Roberto,DL,Espanyol,10189505,+662900,+7.0
2026-08-22,Subidas,Mbappé,DL,Real Madrid,130241056,+657908,+0.5
2026-08-22,Subidas,Gueye,MC,Villarreal,52727024,+646041,+1.2
2026-08-22,Subidas,David Soria,PT,Getafe,23193054,+614146,+2.7
2026-08-22,Subidas,Gerard Martín,DF,Barcelona,38827579,+582824,+1.5
2026-08-22,Subidas,Kubo,MC,Real Sociedad,26742806,+543548,+2.1
2026-08-22,Subidas,Pedri,MC,Barcelona,92508960,+518401,+0.6
2026-08-22,Subidas,Vlachodimos,PT,Sevilla,20990689,+511124,+2.5
2026-08-22,Subidas,Mariano,DL,Alavés,2595696,+494197,+23.5
2026-08-22,Subidas,Fran García,DF,Real Betis,9915219,+493932,+5.2
2026-08-22,Subidas,Canales,MC,Racing,26439859,+479252,+1.8
2026-08-22,Subidas,Dolan,DL,Espanyol,7946055,+477584,+6.4
2026-08-22,Subidas,T. Martínez,DL,Alavés,26946326,+457750,+1.7
2026-08-22,Subidas,Foyth,DF,Villarreal,14489632,+393149,+2.8
2026-08-22,Subidas,Joan García,PT,Barcelona,71610979,+381462,+0.5
2026-08-22,Subidas,Valverde,MC,Real Madrid,72420699,+360937,+0.5
2026-08-22,Subidas,Andrés Martín,DL,Racing,20854528,+359637,+1.8
2026-08-22,Subidas,El Hilali,DF,Espanyol,10794630,+342787,+3.3
2026-08-22,Subidas,Agirrezabala,PT,Racing,4444992,+341786,+8.3
2026-08-22,Subidas,Nuñez,DF,Espanyol,5048751,+329476,+7.0
2026-08-22,Subidas,Guridi,MC,Sevilla,6379140,+318952,+5.3
2026-08-22,Subidas,Mario Soriano,MC,Deportivo,28577856,+313386,+1.1
2026-08-22,Subidas,Dimitrievski,PT,Valencia,15992746,+281248,+1.8
2026-08-22,Subidas,C. Soler,MC,Real Sociedad,33628989,+281152,+0.8
2026-08-22,Subidas,Oblak,PT,Atlético,50738132,+269291,+0.5
2026-08-22,Subidas,Mojica,DF,Getafe,11765064,+257451,+2.2
2026-08-22,Subidas,M. Aguado,MC,Elche CF,4328613,+257366,+6.3
2026-08-22,Subidas,Vini Jr.,DL,Real Madrid,108113999,+256339,+0.2
2026-08-22,Subidas,A. Alti,DF,Deportivo,5187504,+234258,+4.7
2026-08-22,Subidas,Álvaro García,MC,Rayo Vallecano,20794569,+232468,+1.1
2026-08-22,Subidas,Enes Ünal,DL,Getafe,12588452,+219641,+1.8
2026-08-22,Subidas,V. Chust,DF,Elche CF,5295375,+218174,+4.3
2026-08-22,Subidas,Unai Lopez,MC,Rayo Vallecano,6374616,+216224,+3.5
2026-08-22,Subidas,Amatucci,MC,Deportivo,14022629,+214405,+1.6
2026-08-22,Subidas,Iñigo Vicente,DL,Racing,20445889,+209587,+1.0
2026-08-22,Subidas,Carlos Espí,DL,Real Madrid,10182989,+209213,+2.1
2026-08-22,Subidas,G. Villar,MC,Elche CF,6973705,+209105,+3.1
2026-08-22,Subidas,Koke,MC,Atlético,15645889,+208588,+1.4
2026-08-22,Subidas,Rüdiger,DF,Real Madrid,29690370,+201400,+0.7
2026-08-22,Subidas,Raúl Moro,DL,Osasuna,14731972,+200220,+1.4
2026-08-22,Subidas,Riedel,DF,Espanyol,5262041,+200199,+4.0
2026-08-22,Subidas,M. Dituro,PT,Elche CF,8400641,+198253,+2.4
2026-08-22,Subidas,G. Puerta,MC,Racing,14159811,+194600,+1.4
2026-08-22,Subidas,Guruzeta,DL,Athletic Club,15388734,+189265,+1.2
2026-08-22,Subidas,Ángel Pérez,DL,Alavés,6588063,+185694,+2.9
2026-08-22,Subidas,Edu Expósito,MC,Espanyol,30935009,+180487,+0.6
2026-08-22,Subidas,Ryan,PT,Levante,13160812,+177595,+1.4
2026-08-22,Subidas,Budimir,DL,Osasuna,52514353,+176628,+0.3
2026-08-22,Subidas,Bellingham,MC,Real Madrid,91901534,+166576,+0.2
2026-08-22,Subidas,Koski,DF,Alavés,1427042,+156236,+12.3
2026-08-22,Subidas,Marc Bernal,MC,Barcelona,8149849,+155231,+1.9
2026-08-22,Subidas,Jonny Otto,DF,Alavés,6338166,+151907,+2.5
2026-08-22,Subidas,Ibañez,MC,Alavés,3696817,+144511,+4.1
2026-08-22,Subidas,Djene,DF,Getafe,9678830,+144470,+1.5
2026-08-22,Subidas,Oyarzabal,DL,Real Sociedad,63786340,+142663,+0.2
2026-08-22,Subidas,A. Herrero,PT,Málaga,8833934,+139710,+1.6
2026-08-22,Subidas,Dotor,MC,Málaga,3446297,+139171,+4.2
2026-08-22,Subidas,A. Rebbach,DL,Alavés,3779641,+136177,+3.7
2026-08-22,Subidas,Camello,DL,Rayo Vallecano,3121629,+131207,+4.4
2026-08-22,Subidas,Peque,DL,Sevilla,2378686,+131125,+5.8
2026-08-22,Subidas,Mikel Rodriguez,MC,Alavés,1178881,+126722,+12.0
2026-08-22,Subidas,Iñaki Williams,DL,Athletic Club,27070416,+116861,+0.4
2026-08-22,Subidas,Bil Nsongo,DL,Deportivo,6401854,+114301,+1.8
2026-08-22,Subidas,Bright Ede,DF,Deportivo,3215758,+112696,+3.6
2026-08-22,Subidas,Sangante,DF,Sevilla,9191015,+108852,+1.2
2026-08-22,Subidas,Urko,MC,Espanyol,5136170,+108659,+2.2
2026-08-22,Subidas,Robbie Ure,DL,Sevilla,12253066,+106380,+0.9
2026-08-22,Subidas,Juan Iglesias,DF,Sevilla,12433356,+101439,+0.8
2026-08-22,Subidas,Sergio,MC,Racing,1051250,+99909,+10.5
2026-08-22,Subidas,Jorge Salinas,DF,Racing,6099762,+96425,+1.6
2026-08-22,Subidas,Á. Valles,PT,Real Betis,33911105,+91329,+0.3
2026-08-22,Subidas,Aramburu,DF,Real Sociedad,18362460,+88726,+0.5
2026-08-22,Subidas,Álex Balde,DF,Barcelona,24015427,+87248,+0.4
2026-08-22,Subidas,Miguel Sierra,DL,Sevilla,887666,+79053,+9.8
2026-08-22,Subidas,R. Terrats,MC,Getafe,3425997,+74484,+2.2
2026-08-22,Subidas,Óscar Valentín,MC,Rayo Vallecano,4214711,+67874,+1.6
2026-08-22,Subidas,Riquelme,MC,Real Betis,4524672,+63432,+1.4
2026-08-22,Subidas,B. Sangare,DF,Elche CF,3876615,+52760,+1.4
2026-08-22,Subidas,Brahim,MC,Real Madrid,11277605,+52047,+0.5
2026-08-22,Subidas,Manu Hernando,DF,Racing,1956182,+50882,+2.7
2026-08-22,Subidas,AJAsp Jensen,MC,Deportivo,6243875,+46503,+0.8
2026-08-22,Subidas,Dani Lorenzo,MC,Málaga,9541604,+44562,+0.5
2026-08-22,Subidas,Redondo,MC,Elche CF,999697,+44472,+4.7
2026-08-22,Subidas,Abel Bretones,DF,Osasuna,4244436,+44381,+1.1
2026-08-22,Subidas,Javi Guerra,MC,Valencia,24792599,+38131,+0.2
2026-08-22,Subidas,Noubi,DF,Deportivo,13416310,+35537,+0.3
2026-08-22,Subidas,Cala,DL,Espanyol,4137322,+35455,+0.9
2026-08-22,Subidas,D. Cárdenas,PT,Rayo Vallecano,591204,+35378,+6.4
2026-08-22,Subidas,Blanco,MC,Alavés,14588917,+34230,+0.2
2026-08-22,Subidas,Yeray,DF,Athletic Club,4935485,+33731,+0.7
2026-08-22,Subidas,R. Mendoza,MC,Atlético,878355,+29667,+3.5
2026-08-22,Subidas,Denis Suárez,MC,Alavés,2371784,+25902,+1.1
2026-08-22,Subidas,Arnau Ortiz,DL,Atlético,1250234,+25625,+2.1
2026-08-22,Subidas,Pablo Ramón,DF,Racing,632605,+21012,+3.4
2026-08-22,Subidas,D. Martínez,DF,Atlético,434089,+20821,+5.0
2026-08-22,Subidas,Martim Neto,MC,Elche CF,1642713,+20147,+1.2
2026-08-22,Subidas,Einar,DF,Málaga,3740735,+19369,+0.5
2026-08-22,Subidas,Nteka,DL,Rayo Vallecano,1255625,+18005,+1.5
2026-08-22,Subidas,O. Rey,MC,Levante,794094,+15413,+2.0
2026-08-22,Subidas,Recio,DF,Málaga,751587,+14722,+2.0
2026-08-22,Subidas,Lucas Boyé,DL,Alavés,10832416,+12355,+0.1
2026-08-22,Subidas,Youssef,DF,Alavés,515187,+11807,+2.3
2026-08-22,Subidas,Carlos Macià,MC,Villarreal,806837,+9298,+1.2
2026-08-22,Subidas,Maroan,DL,Athletic Club,419969,+6183,+1.5
2026-08-22,Subidas,Paredes,DF,Athletic Club,5583671,+5465,+0.1
2026-08-22,Subidas,Nacho Perez,DF,Levante,599277,+4577,+0.8
2026-08-22,Subidas,Areso,DF,Athletic Club,2994473,+2680,+0.1
2026-08-22,Subidas,Pastor,DF,Málaga,377186,+1446,+0.4
2026-08-22,Subidas,Carlos Lopez,PT,Málaga,384568,+1139,+0.3
2026-08-22,Subidas,Manuel Fernández,DF,Celta,394425,+728,+0.2
2026-08-22,Subidas,Egiluz,DF,Athletic Club,406051,+244,+0.1
2026-08-22,Subidas,C. Puga,DF,Málaga,4982161,+138,0.0
2026-08-22,Subidas,Haitam,DL,Málaga,409827,+86,0.0
2026-08-22,Subidas,MAMaffeo,DF,Valencia,10166521,0,0.0
2026-08-22,Subidas,IMIván Martín,MC,Racing,8230041,0,0.0
2026-08-22,Subidas,MAP. Martínez,MC,Málaga,8230041,0,0.0
2026-08-22,Subidas,RORodri,MC,Barcelona,77461810,0,0.0
2026-08-22,Subidas,ADAdeyemi,DL,Barcelona,40666085,0,0.0
2026-08-22,Bajadas,Rubén S.,MC,Espanyol,440480,-1190,-0.3
2026-08-22,Bajadas,Julio Díaz,DF,Sevilla,443337,-1309,-0.3
2026-08-22,Bajadas,Fran González,PT,Sevilla,613379,-1442,-0.2
2026-08-22,Bajadas,Adama,DF,Athletic Club,465501,-2232,-0.5
2026-08-22,Bajadas,C. Rivero,PT,Valencia,465650,-2240,-0.5
2026-08-22,Bajadas,Tenés,DL,Valencia,469927,-2418,-0.5
2026-08-22,Bajadas,J. Vertrouwd,DF,Rayo Vallecano,888365,-2443,-0.3
2026-08-22,Bajadas,Aitor Fdez,PT,Osasuna,472205,-2512,-0.5
2026-08-22,Bajadas,NANordin Al-Lal,DL,Elche CF,478361,-2769,-0.6
2026-08-22,Bajadas,Patiño,MC,Deportivo,479276,-2807,-0.6
2026-08-22,Bajadas,Mañas,DL,Alavés,502470,-3781,-0.7
2026-08-22,Bajadas,Y. Santiago,MC,Elche CF,503799,-3829,-0.8
2026-08-22,Bajadas,A. Fortuño,PT,Espanyol,503834,-3831,-0.8
2026-08-22,Bajadas,Diatta,MC,Villarreal,514310,-4267,-0.8
2026-08-22,Bajadas,Miguel Rubio,DF,Espanyol,519237,-4472,-0.9
2026-08-22,Bajadas,Karrikaburu,DL,Real Sociedad,522048,-4590,-0.9
2026-08-22,Bajadas,LLLlorenç,PT,Espanyol,523089,-4633,-0.9
2026-08-22,Bajadas,ALAlonso,DL,Rayo Vallecano,523089,-4633,-0.9
2026-08-22,Bajadas,Ruben,PT,Villarreal,526484,-4774,-0.9
2026-08-22,Bajadas,Juanmi,DL,Getafe,530815,-4955,-0.9
2026-08-22,Bajadas,Zubeldia,DF,Real Sociedad,10347676,-5391,-0.1
2026-08-22,Bajadas,Odriozola,DF,Real Sociedad,544028,-5505,-1.0
2026-08-22,Bajadas,Germán,PT,Deportivo,546698,-5617,-1.0
2026-08-22,Bajadas,J. Ives Valou,DF,Getafe,552912,-5876,-1.1
2026-08-22,Bajadas,Edu Altozano,MC,Sevilla,552912,-5876,-1.1
2026-08-22,Bajadas,Iker Muñoz,DF,Sevilla,552912,-5876,-1.1
2026-08-22,Bajadas,DDDiego Diaz,DL,Racing,552912,-5876,-1.1
2026-08-22,Bajadas,De Las Sias,DF,Rayo Vallecano,552912,-5876,-1.1
2026-08-22,Bajadas,Xanet Olaiz,DF,Alavés,553494,-5900,-1.1
2026-08-22,Bajadas,Swiderski,PT,Alavés,553494,-5900,-1.1
2026-08-22,Bajadas,Pepelu,MC,Valencia,7738924,-6022,-0.1
2026-08-22,Bajadas,F. Garcés,DF,Alavés,558100,-6091,-1.1
2026-08-22,Bajadas,Javi Muñoz,MC,Getafe,565127,-6383,-1.1
2026-08-22,Bajadas,Álex Sancris,DL,Getafe,569552,-6569,-1.1
2026-08-22,Bajadas,Marcao,DF,Sevilla,574423,-6772,-1.2
2026-08-22,Bajadas,Pelayo,DF,Rayo Vallecano,911328,-7828,-0.9
2026-08-22,Bajadas,VAA. Vallecillo,MC,Racing,612108,-8342,-1.3
2026-08-22,Bajadas,John C.,DF,Elche CF,612392,-8354,-1.3
2026-08-22,Bajadas,CACaste,MC,Racing,613788,-8411,-1.4
2026-08-22,Bajadas,IDIbra Drj,DL,Getafe,613788,-8411,-1.4
2026-08-22,Bajadas,LOLozano,DF,Rayo Vallecano,613788,-8411,-1.4
2026-08-22,Bajadas,JAJose Angel,DF,Espanyol,613788,-8411,-1.4
2026-08-22,Bajadas,TITimera,DF,Espanyol,613788,-8411,-1.4
2026-08-22,Bajadas,GAGaldin,PT,Levante,613788,-8411,-1.4
2026-08-22,Bajadas,Carlos CorberánDTValencia,,,617387,-8562,-1.4
2026-08-22,Bajadas,Navarro,MC,Athletic Club,2106501,-8794,-0.4
2026-08-22,Bajadas,Letacek,PT,Getafe,626948,-8960,-1.4
2026-08-22,Bajadas,CSCarlos Sánchez,DF,Racing,631393,-9146,-1.4
2026-08-22,Bajadas,Risco,MC,Getafe,631393,-9146,-1.4
2026-08-22,Bajadas,Hugo Duro,DL,Valencia,8552160,-9188,-0.1
2026-08-22,Bajadas,Ferrer,PT,Getafe,634382,-9273,-1.4
2026-08-22,Bajadas,Comas,DF,Deportivo,635998,-9336,-1.4
2026-08-22,Bajadas,Dani Sánchez,DF,Málaga,644158,-9677,-1.5
2026-08-22,Bajadas,F. Mendy,DF,Real Madrid,654712,-10117,-1.5
2026-08-22,Bajadas,Iñigo,DF,Racing,669091,-10716,-1.6
2026-08-22,Bajadas,Fran Pérez,MC,Rayo Vallecano,690499,-11046,-1.6
2026-08-22,Bajadas,Lobete,DL,Málaga,688325,-11518,-1.6
2026-08-22,Bajadas,Arana,DL,Racing,696983,-11878,-1.7
2026-08-22,Bajadas,IBIbra,DL,Sevilla,704484,-12191,-1.7
2026-08-22,Bajadas,MUManel Usedo,MC,Levante,704484,-12191,-1.7
2026-08-22,Bajadas,MRMarco Román,MC,Rayo Vallecano,704484,-12191,-1.7
2026-08-22,Bajadas,Barzic,DF,Elche CF,713524,-12568,-1.7
2026-08-22,Bajadas,Umaru,DL,Elche CF,713524,-12568,-1.7
2026-08-22,Bajadas,Herrera,MC,Real Sociedad,2912080,-12717,-0.4
2026-08-22,Bajadas,Manu Bueno,MC,Sevilla,719283,-12815,-1.8
2026-08-22,Bajadas,Paco Cortes,DL,Levante,721379,-12907,-1.8
2026-08-22,Bajadas,Cabello,DF,Levante,723162,-12969,-1.8
2026-08-22,Bajadas,A. Iturbe,PT,Elche CF,723776,-12995,-1.8
2026-08-22,Bajadas,Ramon,MC,Málaga,724807,-13038,-1.8
2026-08-22,Bajadas,Cardoso,DF,Sevilla,735863,-13501,-1.8
2026-08-22,Bajadas,Obed Vargas,MC,Atlético,736056,-13511,-1.8
2026-08-22,Bajadas,Luis GarcíaDTSevilla,,,750502,-14108,-1.8
2026-08-22,Bajadas,Sánchez FloresDTAlavés,,,750502,-14108,-1.8
2026-08-22,Bajadas,Javi Rueda,DF,Celta,4407631,-14377,-0.3
2026-08-22,Bajadas,Balliu,DF,Rayo Vallecano,970471,-14540,-1.5
2026-08-22,Bajadas,Pedro Díaz,MC,Rayo Vallecano,1707024,-14913,-0.9
2026-08-22,Bajadas,Nico Serrano,DL,Athletic Club,771514,-14984,-1.9
2026-08-22,Bajadas,H. González,MC,Celta,1323388,-15035,-1.1
2026-08-22,Bajadas,Sucic,MC,Real Sociedad,3383296,-15933,-0.5
2026-08-22,Bajadas,Bauza,MC,Espanyol,795181,-15969,-2.0
2026-08-22,Bajadas,MSMarc Santos,DF,Levante,795181,-15969,-2.0
2026-08-22,Bajadas,De Galarreta,MC,Athletic Club,13042179,-16272,-0.1
2026-08-22,Bajadas,NONovoa,DF,Alavés,803449,-16315,-2.0
2026-08-22,Bajadas,Owono,PT,Alavés,805433,-16397,-2.0
2026-08-22,Bajadas,Kevin,DL,Deportivo,807255,-16472,-2.0
2026-08-22,Bajadas,Mangala,MC,Getafe,10639263,-16849,-0.2
2026-08-22,Bajadas,Cepeda,DL,Elche CF,996959,-17312,-1.7
2026-08-22,Bajadas,José AlbertoDTRacing,,,830359,-17436,-2.1
2026-08-22,Bajadas,Iván Villar,PT,Celta,845984,-18089,-2.1
2026-08-22,Bajadas,Marrero,PT,Real Sociedad,986925,-18204,-1.8
2026-08-22,Bajadas,RIRiki,MC,Deportivo,866945,-18960,-2.1
2026-08-22,Bajadas,Jose Angel,MC,Deportivo,867383,-18978,-2.1
2026-08-22,Bajadas,A. Rodriguez,PT,Alavés,881443,-19563,-2.2
2026-08-22,Bajadas,Zakharyan,MC,Real Sociedad,885231,-19722,-2.2
2026-08-22,Bajadas,CTCheikh Thiam,MC,Villarreal,885877,-19749,-2.2
2026-08-22,Bajadas,ACAlberto Calatrava,MC,Levante,885877,-19749,-2.2
2026-08-22,Bajadas,Pablo Durán,DL,Celta,891804,-19908,-2.2
2026-08-22,Bajadas,Jofre,DL,Espanyol,988215,-20097,-2.0
2026-08-22,Bajadas,Djalo,DL,Athletic Club,897712,-20242,-2.2
2026-08-22,Bajadas,Salinas,DF,Málaga,967013,-20263,-2.1
