fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-08-31,Subidas,Zaid Romero,DF,Getafe,28797657,+277213,+1.0
2026-08-31,Subidas,Javi Guerra,MC,Valencia,25118722,+126732,+0.5
2026-08-31,Subidas,Amatucci,MC,Deportivo,15424745,+124070,+0.8
2026-08-31,Subidas,Camello,DL,Rayo Vallecano,4268600,+66440,+1.6
2026-08-31,Subidas,Isaac,DL,Sevilla,7246625,+28825,+0.4
2026-08-31,Subidas,Manu Sánchez,DF,Levante,4939873,+19198,+0.4
2026-08-31,Subidas,Denis Suárez,MC,Alavés,2555256,+11254,+0.4
2026-08-31,Subidas,C. Rivero,PT,Valencia,449883,+529,+0.1
2026-08-31,Bajadas,C. Puga,DF,Málaga,4933367,-31700,-0.6
2026-08-31,Bajadas,Iñigo Perez,DT,Villarreal,1459682,-41546,-2.8
2026-08-31,Bajadas,D. Villares,MC,Deportivo,1805197,-42552,-2.3
2026-08-31,Bajadas,Ionut Radu,PT,Celta,35195442,-143299,-0.4
2026-08-31,Bajadas,Aimar,MC,Osasuna,14530237,-227535,-1.5
2026-08-31,Bajadas,Canales,MC,Racing,27913436,-278596,-1.0
