fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-09-03,Subidas,1Raphinha,DL,Barcelona,122469509,+2526819,+2.1
2026-09-03,Subidas,2Kang-In Lee,MC,Atlético,62602930,+2442686,+4.1
2026-09-03,Subidas,3Gordon,DL,Barcelona,71925513,+2350450,+3.4
2026-09-03,Subidas,4Aubameyang,DL,Deportivo,64957849,+2185200,+3.5
2026-09-03,Subidas,5Bellingham,MC,Real Madrid,111074124,+2014683,+1.8
2026-09-03,Subidas,6Álex Baena,MC,Atlético,62217229,+1753849,+2.9
2026-09-03,Subidas,7Lamine Yamal,DL,Barcelona,125694701,+1544372,+1.2
2026-09-03,Subidas,8Huijsen,DF,Real Madrid,48941761,+1242851,+2.6
2026-09-03,Subidas,9Fermín,MC,Barcelona,92615939,+1170166,+1.3
2026-09-03,Subidas,10Xavi Espart,DF,Barcelona,5525486,+1058656,+23.7
2026-09-03,Subidas,11Barrios,MC,Atlético,52026544,+987784,+1.9
2026-09-03,Subidas,12Mbappé,DL,Real Madrid,137382317,+983172,+0.7
2026-09-03,Subidas,13Tenaglia,DF,Alavés,28418628,+960508,+3.5
2026-09-03,Subidas,14Roberto,DL,Espanyol,19270812,+939149,+5.1
2026-09-03,Subidas,15Catena,DF,Osasuna,34446298,+898633,+2.7
2026-09-03,Subidas,16Marc Bernal,MC,Barcelona,13040174,+892155,+7.3
2026-09-03,Subidas,17Budimir,DL,Osasuna,51174770,+863906,+1.7
2026-09-03,Subidas,18Arda Güler,MC,Real Madrid,75937098,+835060,+1.1
2026-09-03,Subidas,19Ryan,PT,Levante,18945147,+795321,+4.4
2026-09-03,Subidas,20Riquelme,MC,Real Betis,10570572,+766424,+7.8
2026-09-03,Subidas,Adeyemi,DL,Barcelona,50527644,+753179,+1.5
2026-09-03,Subidas,Trent,DF,Real Madrid,20738404,+692704,+3.5
2026-09-03,Subidas,Fran García,DF,Real Betis,17956186,+683848,+4.0
2026-09-03,Subidas,Vini Jr.,DL,Real Madrid,104812221,+679771,+0.7
2026-09-03,Subidas,David Soria,PT,Getafe,32069226,+662567,+2.1
2026-09-03,Subidas,Dela,DF,Levante,13676864,+629940,+4.8
2026-09-03,Subidas,Lucas Boyé,DL,Alavés,14246666,+595123,+4.4
2026-09-03,Subidas,Mario Soriano,MC,Deportivo,27854933,+574663,+2.1
2026-09-03,Subidas,Bartra,DF,Real Betis,33017135,+559960,+1.7
2026-09-03,Subidas,Oyarzabal,DL,Real Sociedad,60400799,+556491,+0.9
