fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-08-13,Subidas,Boyomo,DF,Osasuna,27530021,+396979,+1.5
2026-08-13,Subidas,Foyth,DF,Villarreal,11510712,+287626,+2.6
2026-08-13,Subidas,Isaac,DL,Sevilla,6328377,+49015,+0.8
2026-08-13,Subidas,Javi Guerra,MC,Valencia,23931852,+23727,+0.1
2026-08-13,Bajadas,FAFacu,DF,Racing,3062162,-8885,-0.3
2026-08-13,Bajadas,C. Puga,DF,Málaga,5356423,-45210,-0.8
2026-08-13,Bajadas,Ionut Radu,PT,Celta,40166244,-150461,-0.4
2026-08-13,Bajadas,Guido Rodríguez,MC,Valencia,26117375,-186337,-0.7
2026-08-13,Bajadas,O. Sancet,MC,Athletic Club,49412058,-1050546,-2.1
