fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-09-03,Subidas,Zaid Romero,DF,Getafe,30259267,+505516,+1.7
2026-09-03,Subidas,M. Román,MC,Celta,7182033,+311661,+4.5
2026-09-03,Subidas,Amatucci,MC,Deportivo,15899684,+239133,+1.5
2026-09-03,Subidas,Gerenabarrena,MC,Athletic Club,1367497,+112407,+9.0
2026-09-03,Subidas,A. Rebbach,DL,Alavés,5258132,+65472,+1.3
2026-09-03,Subidas,Manu Sánchez,DF,Levante,4945866,+6042,+0.1
2026-09-03,Bajadas,C. Rivero,PT,Valencia,440950,-4210,-0.9
2026-09-03,Bajadas,Denis Suárez,MC,Alavés,2551219,-8847,-0.3
2026-09-03,Bajadas,C. Soler,MC,Real Sociedad,31388484,-18220,-0.1
2026-09-03,Bajadas,D. Villares,MC,Deportivo,1667734,-41415,-2.4
2026-09-03,Bajadas,Iñigo Perez,DT,Villarreal,1334355,-41435,-3.0
2026-09-03,Bajadas,C. Puga,DF,Málaga,4756546,-51016,-1.1
2026-09-03,Bajadas,Ionut Radu,PT,Celta,34749017,-174087,-0.5
2026-09-03,Bajadas,Canales,MC,Racing,26548342,-419497,-1.6
