fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-08-21,Subidas,Foyth,DF,Villarreal,14096483,+405264,+3.0
2026-08-21,Subidas,Javi Guerra,MC,Valencia,24754468,+115529,+0.5
2026-08-21,Subidas,Pablo Ramón,DF,Racing,611593,+32243,+5.6
2026-08-21,Subidas,C. Puga,DF,Málaga,4982023,+19444,+0.4
2026-08-21,Subidas,Camello,DL,Rayo Vallecano,2990422,+9970,+0.3
2026-08-21,Bajadas,Pablo Durán,DL,Celta,911712,-16307,-1.8
2026-08-21,Bajadas,RamisDTOsasuna,,,1237215,-35662,-2.8
2026-08-21,Bajadas,D. Villares,MC,Deportivo,2236850,-41727,-1.8
2026-08-21,Bajadas,Boyomo,DF,Osasuna,28435182,-42291,-0.1
2026-08-21,Bajadas,FAFacu,DF,Racing,2716313,-59827,-2.2
2026-08-21,Bajadas,Isaac,DL,Sevilla,5906241,-117698,-2.0
