fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-09-14,Subidas,1Aubameyang,DL,Deportivo,93632736,+2675412,+2.9
2026-09-14,Subidas,2Xavi Espart,DF,Barcelona,23883382,+2409092,+11.2
2026-09-14,Subidas,3Roberto,DL,Espanyol,29352208,+1931549,+7.0
2026-09-14,Subidas,4Arda Güler,MC,Real Madrid,88889463,+1615672,+1.9
2026-09-14,Subidas,5Fermín,MC,Barcelona,109785629,+1535094,+1.4
2026-09-14,Subidas,6Lamine Yamal,DL,Barcelona,138540989,+1478183,+1.1
2026-09-14,Subidas,7Mbappé,DL,Real Madrid,141598048,+1342997,+1.0
2026-09-14,Subidas,8Camello,DL,Rayo Vallecano,14616687,+1329875,+10.0
2026-09-14,Subidas,9Lucas Boyé,DL,Alavés,25908761,+1249920,+5.1
2026-09-14,Subidas,10Iñaki Williams,DL,Athletic Club,34322614,+1093203,+3.3
2026-09-14,Subidas,11Fran García,DF,Real Betis,28862159,+1060019,+3.8
2026-09-14,Subidas,12Y. Zabiri,DL,Racing,10465897,+1007892,+10.7
2026-09-14,Subidas,13Ryan,PT,Levante,28634963,+990189,+3.6
2026-09-14,Subidas,14Agirrezabala,PT,Racing,17450428,+986651,+6.0
2026-09-14,Subidas,15Ángel Pérez,DL,Alavés,18427325,+942023,+5.4
2026-09-14,Subidas,16Iñigo Vicente,DL,Racing,31096311,+934188,+3.1
2026-09-14,Subidas,17Nico Williams,DL,Athletic Club,54679713,+887731,+1.7
2026-09-14,Subidas,18Bellingham,MC,Real Madrid,119602120,+883157,+0.7
2026-09-14,Subidas,19Mariano,DL,Alavés,16957930,+881848,+5.5
2026-09-14,Subidas,20Raphinha,DL,Barcelona,136850475,+878762,+0.6
2026-09-14,Subidas,Marc Bernal,MC,Barcelona,22153554,+847801,+4.0
2026-09-14,Subidas,Koski,DF,Alavés,9991533,+833056,+9.1
2026-09-14,Subidas,El Hilali,DF,Espanyol,15003730,+824131,+5.8
2026-09-14,Subidas,Edu Expósito,MC,Espanyol,30046194,+802489,+2.7
2026-09-14,Subidas,Ionut Radu,PT,Celta,40392907,+749295,+1.9
2026-09-14,Subidas,O. Sancet,MC,Athletic Club,43264160,+735892,+1.7
2026-09-14,Subidas,Navarro,MC,Athletic Club,6670381,+645941,+10.7
2026-09-14,Subidas,Juan Iglesias,DF,Sevilla,12585031,+591660,+4.9
2026-09-14,Subidas,Riquelme,MC,Real Betis,16955536,+566901,+3.5
2026-09-14,Subidas,Canales,MC,Racing,28157080,+545842,+2.0
2026-09-14,Subidas,A. Herrero,PT,Málaga,15410667,+539748,+3.6
2026-09-14,Subidas,Vlachodimos,PT,Sevilla,29326240,+518382,+1.8
2026-09-14,Subidas,Bartra,DF,Real Betis,37675467,+515786,+1.4
2026-09-14,Subidas,Jonny Otto,DF,Alavés,13074323,+497315,+4.0
2026-09-14,Subidas,Budimir,DL,Osasuna,62928532,+491248,+0.8
2026-09-14,Subidas,Gerard,DL,Villarreal,36024574,+484815,+1.4
2026-09-14,Subidas,Unai Lopez,MC,Rayo Vallecano,14130790,+472740,+3.5
2026-09-14,Subidas,Javi Hernández,MC,Espanyol,15265058,+443427,+3.0
2026-09-14,Subidas,Marc Roca,MC,Real Betis,12517916,+443362,+3.7
2026-09-14,Subidas,Pedri,MC,Barcelona,95636814,+435875,+0.5
2026-09-14,Subidas,Pablo García,DL,Racing,6742588,+432939,+6.9
2026-09-14,Subidas,Laporte,DF,Athletic Club,43151357,+421974,+1.0
2026-09-14,Subidas,Giménez,DF,Deportivo,8006613,+418727,+5.5
2026-09-14,Subidas,Agoumé,MC,Sevilla,9268934,+416054,+4.7
2026-09-14,Subidas,M. Román,MC,Celta,11294215,+377541,+3.5
2026-09-14,Subidas,Yoel Lago,DF,Celta,4341391,+374110,+9.4
2026-09-14,Subidas,Dmitrovic,PT,Espanyol,40327788,+347421,+0.9
2026-09-14,Subidas,Kike Salas,DF,Sevilla,8635438,+341443,+4.1
2026-09-14,Subidas,Cabrera,DF,Espanyol,10245560,+334920,+3.4
2026-09-14,Subidas,Yuri,DF,Athletic Club,14483461,+328265,+2.3
2026-09-14,Subidas,M. Casadó,MC,Deportivo,5061910,+315189,+6.6
2026-09-14,Subidas,Olasagasti,MC,Levante,8967973,+300847,+3.5
2026-09-14,Subidas,Bardeli,MC,Levante,7220357,+296114,+4.3
2026-09-14,Subidas,Ibañez,MC,Alavés,10333091,+294999,+2.9
2026-09-14,Subidas,Unai Simón,PT,Athletic Club,50008379,+294079,+0.6
2026-09-14,Subidas,Á. Carreras,DF,Real Madrid,8416765,+278025,+3.4
2026-09-14,Subidas,Huijsen,DF,Real Madrid,58033889,+277905,+0.5
2026-09-14,Subidas,Gordon,DL,Barcelona,88112186,+273231,+0.3
2026-09-14,Subidas,Dela,DF,Levante,19105475,+272798,+1.4
