fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-09-07,Subidas,1Aubameyang,DL,Deportivo,75236925,+3616872,+5.1
2026-09-07,Subidas,2Gordon,DL,Barcelona,79624158,+2052298,+2.6
2026-09-07,Subidas,3Arda Güler,MC,Real Madrid,80739752,+2012987,+2.6
2026-09-07,Subidas,4Raphinha,DL,Barcelona,129244637,+1908549,+1.5
2026-09-07,Subidas,5Á. Valles,PT,Real Betis,44766796,+1618275,+3.8
2026-09-07,Subidas,6Xavi Espart,DF,Barcelona,10561093,+1481150,+16.3
2026-09-07,Subidas,7Fermín,MC,Barcelona,95252871,+1301277,+1.4
2026-09-07,Subidas,8Fran García,DF,Real Betis,21490497,+1294485,+6.4
2026-09-07,Subidas,9Huijsen,DF,Real Madrid,53303221,+1236900,+2.4
2026-09-07,Subidas,10Lamine Yamal,DL,Barcelona,129602052,+1177761,+0.9
2026-09-07,Subidas,11Iñaki Williams,DL,Athletic Club,27247196,+1079311,+4.1
2026-09-07,Subidas,12O. Sancet,MC,Athletic Club,36129169,+1032398,+2.9
2026-09-07,Subidas,13Marc Bernal,MC,Barcelona,16612314,+947318,+6.0
2026-09-07,Subidas,14Roberto,DL,Espanyol,23131721,+941300,+4.2
2026-09-07,Subidas,15Bellingham,MC,Real Madrid,116219283,+909581,+0.8
2026-09-07,Subidas,16Camello,DL,Rayo Vallecano,7545489,+890078,+13.4
2026-09-07,Subidas,17Budimir,DL,Osasuna,54136896,+861759,+1.6
2026-09-07,Subidas,18Nico Williams,DL,Athletic Club,48030727,+857672,+1.8
2026-09-07,Subidas,19Álex Baena,MC,Atlético,66918852,+792962,+1.2
2026-09-07,Subidas,20Unai Simón,PT,Athletic Club,46122750,+791834,+1.7
2026-09-07,Subidas,Agirrezabala,PT,Racing,11786748,+783477,+7.1
2026-09-07,Subidas,Tenaglia,DF,Alavés,31878165,+770262,+2.5
2026-09-07,Subidas,Ryan,PT,Levante,21856825,+748999,+3.5
2026-09-07,Subidas,Ionut Radu,PT,Celta,36381052,+638076,+1.8
2026-09-07,Subidas,Catena,DF,Osasuna,37224069,+616006,+1.7
2026-09-07,Subidas,David Soria,PT,Getafe,34402875,+589594,+1.7
2026-09-07,Subidas,Riquelme,MC,Real Betis,13362285,+586521,+4.6
2026-09-07,Subidas,Laporte,DF,Athletic Club,39055225,+583125,+1.5
2026-09-07,Subidas,Lucas Boyé,DL,Alavés,16366469,+573483,+3.6
2026-09-07,Subidas,Jon Martin,DF,Real Sociedad,27065686,+560843,+2.1
2026-09-07,Subidas,Unai Lopez,MC,Rayo Vallecano,10307322,+547677,+5.6
2026-09-07,Subidas,Barrios,MC,Atlético,54388557,+527887,+1.0
2026-09-07,Subidas,Ángel Pérez,DL,Alavés,11877600,+526002,+4.6
2026-09-07,Subidas,Gerard,DL,Villarreal,33008187,+521850,+1.6
2026-09-07,Subidas,Marc Roca,MC,Real Betis,9413369,+521312,+5.9
2026-09-07,Subidas,Koski,DF,Alavés,6219812,+510837,+8.9
2026-09-07,Subidas,Dela,DF,Levante,15851097,+506653,+3.3
2026-09-07,Subidas,Abel Bretones,DF,Osasuna,8772817,+494054,+6.0
2026-09-07,Subidas,Iñigo Vicente,DL,Racing,28011434,+488083,+1.8
2026-09-07,Subidas,Kang-In Lee,MC,Atlético,68031861,+487740,+0.7
2026-09-07,Subidas,Adama Traoré,DL,Deportivo,15712966,+484636,+3.2
2026-09-07,Subidas,De Galarreta,MC,Athletic Club,12759375,+475738,+3.9
2026-09-07,Subidas,Yuri,DF,Athletic Club,11298188,+472897,+4.4
2026-09-07,Subidas,Pathé I. Ciss,MC,Rayo Vallecano,21672676,+466794,+2.2
2026-09-07,Subidas,Mariano,DL,Alavés,10129133,+466304,+4.8
2026-09-07,Subidas,Mario Soriano,MC,Deportivo,30041516,+455261,+1.5
2026-09-07,Subidas,Navarro,MC,Athletic Club,3018187,+453271,+17.7
2026-09-07,Subidas,Aramburu,DF,Real Sociedad,17863625,+452590,+2.6
2026-09-07,Subidas,Paredes,DF,Athletic Club,10438454,+451920,+4.5
2026-09-07,Subidas,Giménez,DF,Deportivo,4717634,+423379,+9.9
2026-09-07,Subidas,Bartra,DF,Real Betis,34275419,+422515,+1.2
2026-09-07,Subidas,Pablo García,DL,Racing,3748061,+414766,+12.4
2026-09-07,Subidas,Marcos Alonso,DF,Celta,27560535,+401179,+1.5
2026-09-07,Subidas,M. Román,MC,Celta,8766735,+400709,+4.8
2026-09-07,Subidas,Gabriel Jesus,DL,Barcelona,27656393,+389952,+1.4
2026-09-07,Subidas,Jonny Otto,DF,Alavés,10839733,+374888,+3.6
2026-09-07,Subidas,F. Bernal,MC,Real Betis,12392032,+365664,+3.0
2026-09-07,Subidas,Luismi Cruz,DL,Deportivo,6862186,+344114,+5.3
2026-09-07,Subidas,Olasagasti,MC,Levante,6639997,+341831,+5.4
2026-09-07,Subidas,Bellerín,DF,Real Betis,15128419,+333279,+2.3
2026-09-07,Subidas,M. Casadó,MC,Deportivo,2972238,+314672,+11.8
2026-09-07,Subidas,Javi Hernández,MC,Espanyol,13859608,+313879,+2.3
2026-09-07,Subidas,Y. Zabiri,DL,Racing,7721909,+300837,+4.1
2026-09-07,Subidas,Ibañez,MC,Alavés,7121985,+265276,+3.9
2026-09-07,Subidas,Mbappé,DL,Real Madrid,139529633,+261042,+0.2
2026-09-07,Subidas,Dolan,DL,Espanyol,14141999,+255607,+1.8
2026-09-07,Subidas,Remiro,PT,Real Sociedad,39310304,+255274,+0.7
2026-09-07,Subidas,Arguibide,DF,Osasuna,2568088,+251710,+10.9
2026-09-07,Subidas,Canales,MC,Racing,25975001,+249151,+1.0
2026-09-07,Subidas,Sucic,MC,Real Sociedad,6517720,+248715,+4.0
2026-09-07,Subidas,Vini Jr.,DL,Real Madrid,106464180,+240912,+0.2
2026-09-07,Subidas,Bardeli,MC,Levante,5187490,+237563,+4.8
2026-09-07,Subidas,R. Terrats,MC,Getafe,6739490,+232760,+3.6
2026-09-07,Subidas,Miguel Sierra,DL,Sevilla,3153541,+231321,+7.9
2026-09-07,Subidas,Sivera,PT,Alavés,42294959,+225329,+0.5
2026-09-07,Subidas,Blanco,MC,Alavés,18087372,+223680,+1.3
2026-09-07,Subidas,Noubi,DF,Deportivo,13833220,+222951,+1.6
2026-09-07,Subidas,Yoel Lago,DF,Celta,2228512,+219113,+10.9
2026-09-07,Subidas,Nuñez,DF,Espanyol,9720184,+216155,+2.3
