fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-09-08,Subidas,Ionut Radu,PT,Celta,36937756,+591755,+1.6
2026-09-08,Subidas,M. Román,MC,Celta,9125539,+371269,+4.2
2026-09-08,Subidas,Canales,MC,Racing,26243192,+290017,+1.1
2026-09-08,Subidas,Amatucci,MC,Deportivo,17196826,+206344,+1.2
2026-09-08,Subidas,Gerenabarrena,MC,Athletic Club,2091622,+195229,+10.3
2026-09-08,Subidas,Manu Sánchez,DF,Levante,4929075,+63792,+1.3
2026-09-08,Bajadas,C. Rivero,PT,Valencia,437600,-525,-0.1
2026-09-08,Bajadas,Iñigo Perez,DT,Villarreal,1166059,-30877,-2.6
2026-09-08,Bajadas,D. Villares,MC,Deportivo,1478791,-41910,-2.8
2026-09-08,Bajadas,A. Rebbach,DL,Alavés,5332609,-66677,-1.2
2026-09-08,Bajadas,C. Puga,DF,Málaga,4360057,-109702,-2.5
2026-09-08,Bajadas,Zaid Romero,DF,Getafe,31265877,-169896,-0.5
2026-09-08,Bajadas,C. Soler,MC,Real Sociedad,30073358,-431819,-1.4
