fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-08-27,Subidas,Zaid Romero,DF,Getafe,27444038,+453409,+1.7
2026-08-27,Subidas,Guido Rodríguez,MC,Valencia,24944098,+423665,+1.7
2026-08-27,Subidas,Amatucci,MC,Deportivo,14721800,+293322,+2.0
2026-08-27,Subidas,Isaac,DL,Sevilla,6665244,+204958,+3.2
2026-08-27,Subidas,Javi Guerra,MC,Valencia,24252929,+135461,+0.6
2026-08-27,Subidas,Camello,DL,Rayo Vallecano,3883404,+117252,+3.1
2026-08-27,Subidas,C. Puga,DF,Málaga,4934935,+20434,+0.4
2026-08-27,Subidas,Denis Suárez,MC,Alavés,2533259,+13618,+0.5
2026-08-27,Bajadas,C. Rivero,PT,Valencia,452800,-2304,-0.5
2026-08-27,Bajadas,Alonso,DL,Rayo Vallecano,499635,-4256,-0.8
2026-08-27,Bajadas,Iñigo,DF,Racing,618681,-9216,-1.5
2026-08-27,Bajadas,Marcos,DL,Espanyol,1055123,-27402,-2.5
2026-08-27,Bajadas,D. Villares,MC,Deportivo,1951375,-31738,-1.6
2026-08-27,Bajadas,Iñigo Perez,DT,Villarreal,1641712,-51842,-3.1
2026-08-27,Bajadas,Ionut Radu,PT,Celta,35682171,-70398,-0.2
