fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-09-10,Subidas,Ionut Radu,PT,Celta,37997072,+530888,+1.4
2026-09-10,Subidas,M. Román,MC,Celta,9854002,+363257,+3.8
2026-09-10,Subidas,Canales,MC,Racing,26882440,+316426,+1.2
2026-09-10,Subidas,Gerenabarrena,MC,Athletic Club,2550856,+236571,+10.2
2026-09-10,Subidas,Amatucci,MC,Deportivo,17582299,+215794,+1.2
2026-09-10,Subidas,C. Soler,MC,Real Sociedad,30317807,+198192,+0.7
2026-09-10,Subidas,Manu Sánchez,DF,Levante,5147676,+113721,+2.3
2026-09-10,Bajadas,C. Rivero,PT,Valencia,435853,-736,-0.2
2026-09-10,Bajadas,Iñigo Perez,DT,Villarreal,1107201,-28709,-2.5
2026-09-10,Bajadas,D. Villares,MC,Deportivo,1398719,-38279,-2.7
2026-09-10,Bajadas,A. Rebbach,DL,Alavés,5220164,-53303,-1.0
2026-09-10,Bajadas,C. Puga,DF,Málaga,4168178,-90166,-2.1
2026-09-10,Bajadas,Zaid Romero,DF,Getafe,29504964,-883858,-2.9
