fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-09-18,Subidas,Vlachodimos,PT,Sevilla,30350168,+317704,+1.1
2026-09-18,Bajadas,Zaid Romero,DF,Getafe,24771062,-352891,-1.4
2026-09-18,Bajadas,D. Villares,MC,Deportivo,1150022,-29572,-2.5
2026-09-18,Subidas,A. Rebbach,DL,Alavés,5188201,+15176,+0.3
2026-09-18,Bajadas,Iñigo Perez,DT,Villarreal,926290,-20250,-2.1
2026-09-18,Bajadas,Amatucci,MC,Deportivo,17857115,-147364,-0.8
2026-09-18,Subidas,M. Román,MC,Celta,12570509,+322658,+2.6
2026-09-18,Bajadas,Gudelj,MC,Getafe,6215411,-29700,-0.5
2026-09-18,Bajadas,Blanco,MC,Alavés,19771168,-214215,-1.1
2026-09-18,Bajadas,Claudio Giraldez,DT,Celta,929089,-20367,-2.1
2026-09-18,Subidas,Luismi Cruz,DL,Deportivo,9996593,+254037,+2.6
2026-09-18,Subidas,Iñigo Vicente,DL,Racing,33261862,+331188,+1.0
2026-09-18,Subidas,Sucic,MC,Real Sociedad,11260420,+392496,+3.6
