fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-09-07,Subidas,Ionut Radu,PT,Celta,36381052,+638076,+1.8
2026-09-07,Subidas,M. Román,MC,Celta,8766735,+400709,+4.8
2026-09-07,Subidas,Canales,MC,Racing,25975001,+249151,+1.0
2026-09-07,Subidas,Amatucci,MC,Deportivo,17005629,+211462,+1.3
2026-09-07,Subidas,Gerenabarrena,MC,Athletic Club,1900817,+192636,+11.3
2026-09-07,Subidas,Zaid Romero,DF,Getafe,31459699,+150380,+0.5
2026-09-07,Subidas,C. Rivero,PT,Valencia,438435,+746,+0.2
2026-09-07,Bajadas,A. Rebbach,DL,Alavés,5402815,-8245,-0.2
2026-09-07,Bajadas,Denis Suárez,MC,Alavés,2589940,-9938,-0.4
2026-09-07,Bajadas,Iñigo Perez,DT,Villarreal,1197246,-30871,-2.5
2026-09-07,Bajadas,D. Villares,MC,Deportivo,1521056,-41714,-2.7
2026-09-07,Bajadas,Manu Sánchez,DF,Levante,4867528,-65532,-1.3
2026-09-07,Bajadas,C. Puga,DF,Málaga,4471128,-102625,-2.2
2026-09-07,Bajadas,C. Soler,MC,Real Sociedad,30518701,-388703,-1.3
